Year,Rank,Movie Name,MovieURL,Gross,Theaters,Total Gross,Release Date
2023,1,Barbie,https://www.boxofficemojo.com/release/rl1077904129/?ref_=bo_yld_table_1,,,"$636,225,983","4,337"
2023,2,The Super Mario Bros. Movie,https://www.boxofficemojo.com/release/rl1930593025/?ref_=bo_yld_table_2,,,"$574,934,330","4,371"
2023,3,Spider-Man: Across the Spider-Verse,https://www.boxofficemojo.com/release/rl2812183041/?ref_=bo_yld_table_3,,,"$381,311,319","4,332"
2023,4,Guardians of the Galaxy Vol. 3,https://www.boxofficemojo.com/release/rl2977202945/?ref_=bo_yld_table_4,,,"$358,995,815","4,450"
2023,5,Oppenheimer,https://www.boxofficemojo.com/release/rl3725886209/?ref_=bo_yld_table_5,,,"$326,101,370","3,761"
2023,6,The Little Mermaid,https://www.boxofficemojo.com/release/rl1913750273/?ref_=bo_yld_table_6,,,"$298,172,056","4,320"
2023,7,Avatar: The Way of Water,https://www.boxofficemojo.com/release/rl3372254721/?ref_=bo_yld_table_7,,,"$283,067,859","4,340"
2023,8,Ant-Man and the Wasp: Quantumania,https://www.boxofficemojo.com/release/rl3195306753/?ref_=bo_yld_table_8,,,"$214,504,909","4,345"
2023,9,John Wick: Chapter 4,https://www.boxofficemojo.com/release/rl1644725761/?ref_=bo_yld_table_9,,,"$187,131,806","3,855"
2023,10,Sound of Freedom,https://www.boxofficemojo.com/release/rl4254237441/?ref_=bo_yld_table_10,,,"$184,177,725","3,411"
2023,11,Taylor Swift: The Eras Tour,https://www.boxofficemojo.com/release/rl4054352641/?ref_=bo_yld_table_11,,,"$179,817,571","3,855"
2023,12,Indiana Jones and the Dial of Destiny,https://www.boxofficemojo.com/release/rl2776598017/?ref_=bo_yld_table_12,,,"$174,480,468","4,600"
2023,13,Mission: Impossible - Dead Reckoning Part One,https://www.boxofficemojo.com/release/rl1896449537/?ref_=bo_yld_table_13,,,"$172,135,383","4,327"
2023,14,The Hunger Games: The Ballad of Songbirds & Snakes,https://www.boxofficemojo.com/release/rl1262387969/?ref_=bo_yld_table_14,,,"$159,719,625","3,776"
2023,15,Transformers: Rise of the Beasts,https://www.boxofficemojo.com/release/rl1606320641/?ref_=bo_yld_table_15,,,"$157,066,392","3,680"
2023,16,Creed III,https://www.boxofficemojo.com/release/rl1713734401/?ref_=bo_yld_table_16,,,"$156,248,615","4,007"
2023,17,Elemental,https://www.boxofficemojo.com/release/rl1811383041/?ref_=bo_yld_table_17,,,"$154,426,697","4,035"
2023,18,Fast X,https://www.boxofficemojo.com/release/rl209683969/?ref_=bo_yld_table_18,,,"$146,126,015","4,088"
2023,19,Five Nights at Freddy's,https://www.boxofficemojo.com/release/rl764248833/?ref_=bo_yld_table_19,,,"$137,275,620","3,789"
2023,20,Wonka,https://www.boxofficemojo.com/release/rl2942927617/?ref_=bo_yld_table_20,,,"$133,129,902","4,213"
2023,21,Puss in Boots: The Last Wish,https://www.boxofficemojo.com/release/rl3899622145/?ref_=bo_yld_table_21,,,"$130,425,380","4,121"
2023,22,Teenage Mutant Ninja Turtles: Mutant Mayhem,https://www.boxofficemojo.com/release/rl393904897/?ref_=bo_yld_table_22,,,"$118,613,586","3,950"
2023,23,Scream VI,https://www.boxofficemojo.com/release/rl1714914049/?ref_=bo_yld_table_23,,,"$108,161,389","3,676"
2023,24,The Flash,https://www.boxofficemojo.com/release/rl2225635841/?ref_=bo_yld_table_24,,,"$108,133,313","4,256"
2023,25,Trolls Band Together,https://www.boxofficemojo.com/release/rl577798913/?ref_=bo_yld_table_25,,,"$96,370,205","3,893"
2023,26,M3GAN,https://www.boxofficemojo.com/release/rl1110147841/?ref_=bo_yld_table_26,,,"$95,159,005","3,628"
2023,27,Dungeons & Dragons: Honor Among Thieves,https://www.boxofficemojo.com/release/rl1879410177/?ref_=bo_yld_table_27,,,"$93,277,026","3,856"
2023,28,The Equalizer 3,https://www.boxofficemojo.com/release/rl1430029057/?ref_=bo_yld_table_28,,,"$92,373,751","3,965"
2023,29,The Nun II,https://www.boxofficemojo.com/release/rl1339523841/?ref_=bo_yld_table_29,,,"$86,267,073","3,743"
2023,30,The Marvels,https://www.boxofficemojo.com/release/rl247366145/?ref_=bo_yld_table_30,,,"$84,479,155","4,030"
2023,31,Meg 2: The Trench,https://www.boxofficemojo.com/release/rl3090514689/?ref_=bo_yld_table_31,,,"$82,600,317","3,604"
2023,32,Insidious: The Red Door,https://www.boxofficemojo.com/release/rl1137607425/?ref_=bo_yld_table_32,,,"$82,156,962","3,188"
2023,33,Aquaman and the Lost Kingdom,https://www.boxofficemojo.com/release/rl3003745793/?ref_=bo_yld_table_33,,,"$76,469,713","3,787"
2023,34,Blue Beetle,https://www.boxofficemojo.com/release/rl3693445889/?ref_=bo_yld_table_34,,,"$72,488,072","3,871"
2023,35,Haunted Mansion,https://www.boxofficemojo.com/release/rl707822337/?ref_=bo_yld_table_35,,,"$67,653,287","3,740"
2023,36,Killers of the Flower Moon,https://www.boxofficemojo.com/release/rl629703425/?ref_=bo_yld_table_36,,,"$67,292,161","3,786"
2023,37,Evil Dead Rise,https://www.boxofficemojo.com/release/rl1289192193/?ref_=bo_yld_table_37,,,"$67,233,054","3,417"
2023,38,The Exorcist: Believer,https://www.boxofficemojo.com/release/rl2047378177/?ref_=bo_yld_table_38,,,"$65,537,395","3,684"
2023,39,PAW Patrol: The Mighty Movie,https://www.boxofficemojo.com/release/rl3038479105/?ref_=bo_yld_table_39,,,"$65,231,360","4,027"
2023,40,Cocaine Bear,https://www.boxofficemojo.com/release/rl2503901953/?ref_=bo_yld_table_40,,,"$64,670,240","3,571"
2023,41,A Man Called Otto,https://www.boxofficemojo.com/release/rl3442377473/?ref_=bo_yld_table_41,,,"$64,228,358","3,957"
2023,42,Wish,https://www.boxofficemojo.com/release/rl3097657857/?ref_=bo_yld_table_42,,,"$60,609,147","3,900"
2023,43,Napoleon,https://www.boxofficemojo.com/release/rl2710274817/?ref_=bo_yld_table_43,,,"$60,512,228","3,500"
2023,44,Shazam! Fury of the Gods,https://www.boxofficemojo.com/release/rl162234881/?ref_=bo_yld_table_44,,,"$57,638,006","4,071"
2023,45,Migration,https://www.boxofficemojo.com/release/rl83920385/?ref_=bo_yld_table_45,,,"$54,103,955","3,839"
2023,46,Saw X,https://www.boxofficemojo.com/release/rl1926595329/?ref_=bo_yld_table_46,,,"$53,607,898","3,262"
2023,47,Air,https://www.boxofficemojo.com/release/rl2106295041/?ref_=bo_yld_table_47,,,"$52,460,106","3,507"
2023,48,Jesus Revolution,https://www.boxofficemojo.com/release/rl466125569/?ref_=bo_yld_table_48,,,"$52,102,987","2,575"
2023,49,No Hard Feelings,https://www.boxofficemojo.com/release/rl4174349057/?ref_=bo_yld_table_49,,,"$50,452,282","3,208"
2023,50,Talk to Me,https://www.boxofficemojo.com/release/rl3548742401/?ref_=bo_yld_table_50,,,"$48,299,436","2,379"
2023,51,Godzilla Minus One,https://www.boxofficemojo.com/release/rl1285456641/?ref_=bo_yld_table_51,,,"$45,580,412","2,622"
2023,52,Gran Turismo,https://www.boxofficemojo.com/release/rl3788079873/?ref_=bo_yld_table_52,,,"$44,428,554","3,856"
2023,53,The Color Purple,https://www.boxofficemojo.com/release/rl577012481/?ref_=bo_yld_table_53,,,"$44,047,642","3,218"
2023,54,The Boogeyman,https://www.boxofficemojo.com/release/rl3958932225/?ref_=bo_yld_table_54,,,"$43,244,282","3,205"
2023,55,A Haunting in Venice,https://www.boxofficemojo.com/release/rl216040193/?ref_=bo_yld_table_55,,,"$42,471,412","3,305"
2023,56,The Creator,https://www.boxofficemojo.com/release/rl3888743169/?ref_=bo_yld_table_56,,,"$40,774,679","3,680"
2023,57,80 for Brady,https://www.boxofficemojo.com/release/rl3470820097/?ref_=bo_yld_table_57,,,"$39,330,588","3,939"
2023,58,The Boy and the Heron,https://www.boxofficemojo.com/release/rl4222321409/?ref_=bo_yld_table_58,,,"$35,846,555","2,325"
2023,59,Knock at the Cabin,https://www.boxofficemojo.com/release/rl3793191681/?ref_=bo_yld_table_59,,,"$35,397,980","3,657"
2023,60,Renaissance: A Film by Beyoncé,https://www.boxofficemojo.com/release/rl347177729/?ref_=bo_yld_table_60,,,"$33,223,373","2,542"
2023,61,Missing,https://www.boxofficemojo.com/release/rl3403318017/?ref_=bo_yld_table_61,,,"$32,502,025","3,025"
2023,62,Plane,https://www.boxofficemojo.com/release/rl1992983297/?ref_=bo_yld_table_62,,,"$32,111,181","3,060"
2023,63,65,https://www.boxofficemojo.com/release/rl4235821825/?ref_=bo_yld_table_63,,,"$32,062,904","3,405"
2023,64,Thanksgiving,https://www.boxofficemojo.com/release/rl2760606465/?ref_=bo_yld_table_64,,,"$31,800,773","3,204"
