Subscription_Id	og_usage_m3	og_usage_m2	og_usage_m1	data_usage_m3	data_usage_m2	data_usage_m1	rev_m3	rev_m2	rev_m1	Rate_Plan_Desc	Most_Used_Region	aon	post_migration_plan
127122557	3422	3862	3679	4578	8225	6200	61.31	318.42	547.56	BundleChild Voice	G.Cairo	2942	Bundle 2000
157038198	1257	755	953	33	14	10	9.61	10.44	11.27	BundleChild Voice	?	112	Bundle 2000
192116383	612	1153	617	4514	1081	5468	739.55	863.5	2280.21	Bundle1150	G.Cairo	?	Bundle 2000
116872408	3882	1796	2270	42645	20197	23004	378.83	1010.38	1552.94	Bundle230	G.Cairo	3225	Bundle 2000
86447560	347	380	317	1434	1841	960	26.95	238.17	634.22	Bundle230	G.Cairo	3592	Bundle 2000
192657707	1272	1216	1162	15693	14077	11167	286.2	607.03	1042.92	BundleChild Voice	G.Cairo	501	Bundle 2000
112197129	99	102	138	3694	1786	4988	31.07	54.58	55.41	BundleChild Voice	G.Cairo	3441	Bundle 2000
145304352	315	365	168	13099	5285	2628	0.83	1.66	2.49	BundleChild Voice	G.Cairo	?	Bundle 2000
193675774	?	?	?	?	?	?	308.63	617.26	975.14	Bundle230	?	388	Bundle 2000
165652221	0	0	0	0	0	0	254.92	563.55	921.43	Bundle230	?	1951	Bundle 2000
86109544	1148	756	583	1961	2088	1290	50.97	107.2	163.43	BundleChild Voice	G.Cairo	3833	Bundle 2000
174419895	2563	1950	2578	36489	30623	20784	787.95	1441.32	2148.61	Bundle230	G.Cairo	1423	Bundle 2000
107332408	904	1603	1745	15741	13353	11109	81.93	463.96	883.4	Bundle230	G.Cairo	3530	Bundle 2000
193580952	143	64	215	6162	4367	22119	308.63	617.26	975.14	Bundle230	Upper	398	Bundle 2000
121599891	822	946	1037	4706	4749	4605	56.23	118.54	180.86	BundleChild Voice	G.Cairo	?	Bundle 2000
156191137	206	359	104	1801	3195	3818	0.83	1.66	2.49	BundleChild Voice	G.Cairo	?	Bundle 2000
197436353	?	?	?	?	?	?	0	0	0	Bundle230	?	209	Bundle 2000
174402460	723	351	488	37203	43311	32858	252.55	1063.22	1976.54	BundleChild Voice	Upper	1272	Bundle 2000
8691177	2797	1857	1640	49857	51292	54756	1024.39	2346.47	3505.55	Bundle230	G.Cairo	5728	Bundle 2000
150249396	983	1022	496	10346	12379	10661	0.83	1.66	2.49	BundleChild Voice	G.Cairo	2341	Bundle 2000
183986098	0	0	0	0	0	0	0	0	0	Bundle230	?	840	Bundle 2000
187276969	551	490	539	16262	11355	13667	127.23	435.86	793.74	Bundle230	G.Cairo	305	Bundle 2000
179925412	967	889	840	469	5	28	15.39	16.22	17.05	BundleChild Voice	G.Cairo	1041	Bundle 2000
95260506	479	558	484	22253	12784	17474	493.31	925.06	1406.06	Bundle230	G.Cairo	2598	Bundle 2000
150850041	834	440	845	11038	5393	2905	-0.78	15.17	16	BundleChild Voice	Delta	2399	Bundle 2000
124089787	2082	1532	1369	6812	9080	6808	16.8	21.55	22.38	BundleChild Voice	G.Cairo	3068	Bundle 2000
782348	249	461	311	0	0	0	0.83	1.66	2.49	BundleChild Voice	G.Cairo	5720	Bundle 2000
144419933	589	543	676	14282	17049	13154	168.18	376.21	857.21	Bundle230	G.Cairo	2439	Bundle 2000
195863727	33	5	18	7	1	3	0.83	1.66	2.49	BundleChild Voice	G.Cairo	185	Bundle 2000
196690926	13	0	152	0	0	1254	215.3	856.35	1497.4	Bundle450	Delta	286	Bundle 2000
176935975	1474	991	1153	1528	1752	696	0.83	1.66	2.49	BundleChild Voice	G.Cairo	781	Bundle 2000
26761245	1687	2648	2298	27930	24719	39699	117.74	681.43	1379.58	Bundle230	G.Cairo	5209	Bundle 2000
171386269	1156	1777	1595	14483	10336	20169	369.11	677.74	1056.03	Bundle230	G.Cairo	439	Bundle 2000
64422476	948	943	693	22025	17914	18684	0.83	77.26	112.87	BundleChild Voice	Delta	4303	Bundle 2000
95174635	796	357	0	8366	2254	0	308.63	617.26	708.08	Bundle230	Upper	2601	Bundle 2000
193640088	1272	1927	1457	31276	29728	22585	554.87	1399.68	2023.86	Bundle450	Upper	392	Bundle 2000
159465469	635	509	714	17323	12798	11673	0.83	309.46	310.29	Bundle230	G.Cairo	2107	Bundle 2000
45036047	808	769	1099	7899	12495	4311	493.31	801.94	1159.82	Bundle230	G.Cairo	4732	Bundle 2000
182931264	?	?	?	?	?	?	0.83	1.66	1.66	BundleChild Voice	?	548	Bundle 2000
192812950	235	185	127	1320	4120	13632	308.63	617.26	975.14	Bundle230	G.Cairo	486	Bundle 2000
149688006	505	879	745	12818	10074	8551	28.01	81.56	82.39	BundleChild Voice	G.Cairo	2389	Bundle 2000
183645287	652	598	599	34430	29951	26006	91.55	317.67	394.59	BundleChild Voice	G.Cairo	847	Bundle 2000
183784115	814	575	873	11929	20957	4345	0.83	1.66	2.49	BundleChild Voice	G.Cairo	714	Bundle 2000
133705216	536	1651	1580	12945	12302	14528	43.74	335.94	666.97	Bundle230	?	685	Bundle 2000
196796495	1778	2	10	115	5	4	312.84	621.47	979.35	Bundle230	G.Alex	272	Bundle 2000
176288123	2382	2255	1794	22226	20108	28943	277.85	555.7	876.64	Bundle450	Upper	1253	Bundle 2000
180802529	0	0	0	0	0	0	0	0	0	Bundle230	?	322	Bundle 2000
170507804	1235	704	848	14828	10059	7746	185.51	494.14	852.02	Bundle230	Delta	1550	Bundle 2000
188767966	342	347	367	8214	7484	10297	13.24	21.78	30.81	BundleChild Voice	G.Cairo	277	Bundle 2000
74911884	0	0	0	0	0	0	185.51	185.51	185.51	Bundle450	G.Cairo	3995	Bundle 2000
47587895	1691	1608	1797	15577	16433	15179	200.09	354.82	712.7	Bundle230	Upper	4711	Bundle 2000
185101883	259	168	204	12307	12314	12290	308.63	617.26	975.14	Bundle230	G.Cairo	786	Bundle 2000
160506927	131	198	122	1119	1193	2337	0.83	1.66	2.49	BundleChild Voice	Delta	2213	Bundle 2000
183177354	389	498	270	3133	3552	4892	154.73	309.46	667.34	Bundle230	Delta	888	Bundle 2000
126095007	880	2096	1854	9567	12473	9078	0.83	1.66	2.49	BundleChild Voice	G.Cairo	2970	Bundle 2000
93179426	984	1182	1163	21324	10049	6088	308.63	617.26	981.17	Bundle230	G.Cairo	3810	Bundle 2000
182161998	599	500	460	985	1713	1170	0.83	1.66	2.49	BundleChild Voice	G.Cairo	942	Bundle 2000
41174610	1179	1085	738	7836	4643	9023	0.83	-0.22	0.61	BundleChild Voice	G.Cairo	4871	Bundle 2000
86540363	190	136	127	6191	3079	2263	308.63	618.18	976.06	Bundle230	G.Cairo	3588	Bundle 2000
89739920	498	438	587	2913	3126	5975	0.83	1.66	2.49	BundleChild Voice	G.Cairo	3845	Bundle 2000
82663327	544	905	636	26857	27401	42676	647.81	1269.61	2182.14	Bundle450	G.Cairo	4079	Bundle 2000
193747697	1712	1811	2226	4237	4203	4851	554.87	1109.74	1750.79	Bundle450	Upper	378	Bundle 2000
136841393	1564	992	708	10886	14690	21008	308.63	648.04	1098.26	Bundle230	Upper	2672	Bundle 2000
103596280	491	524	576	15217	13289	36982	9.76	16.52	17.35	BundleChild Voice	Upper	3638	Bundle 2000
154052675	4410	4720	3176	15814	12165	12059	162.42	471.05	881.85	Bundle230	Upper	2269	Bundle 2000
163339834	1001	10	711	338	0	0	453.3	830.03	1336.32	Bundle230	Upper	1773	Bundle 2000
141723467	276	485	469	33099	34837	27170	186.13	216.21	217.04	BundleChild Voice	G.Cairo	2545	Bundle 2000
197161837	2028	2587	1340	5469	4200	5213	308.63	617.26	975.14	Bundle230	Upper	?	Bundle 2000
193849085	1421	1902	1996	11936	14987	7110	690.95	855.99	1405.14	Bundle230	G.Cairo	365	Bundle 2000
173217076	296	390	405	177	842	1033	32.48	33.31	45.16	BundleChild Voice	G.Cairo	1308	Bundle 2000
102789330	?	?	?	?	?	?	0.83	1.66	2.49	BundleChild Voice	?	3676	Bundle 2000
150087953	2057	1820	1711	7973	3518	5856	46.19	93.89	94.72	BundleChild Voice	G.Alex	2356	Bundle 2000
193168830	256	78	80	7572	3708	1302	308.63	617.26	975.14	Bundle230	G.Cairo	441	Bundle 2000
25062290	554	574	639	2860	3483	3375	0.83	-7.9	-17	BundleChild Voice	Delta	5121	Bundle 2000
187525791	988	707	1007	17811	14923	5152	0.83	1.66	2.49	BundleChild Voice	Delta	719	Bundle 2000
